h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h102,h103,h104,h102,h103,h104,h105,h106,h107,h108,h109,h110,h123,h124,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,offset
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.316350563,0.671794468,4.140868023,0.523262256,1.111653229,4.085125352,61.31165092,0.316350563,0.671794468,4.140868023,0.523262256,1.111653229,0,0,1,1,41.40868023,0,1,0,11.11653229,0,1,0,111.1653229,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.311651143,0.639366505,4.138855822,0.525444811,1.097105381,4.082427005,61.29308818,0.311651143,0.639366505,4.138855822,0.525444811,1.097105381,0,0,1,1,41.38855822,0,1,0,10.97105381,0,1,0,109.7105381,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.307955419,0.613297515,4.135574123,0.528384195,1.07715271,4.08733188,61.2683757,0.307955419,0.613297515,4.135574123,0.528384195,1.07715271,0,0,1,1,41.35574123,0,1,0,10.7715271,0,1,0,107.715271,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.309469814,0.606128721,4.133284222,0.53163496,1.083862212,4.093432402,61.24877751,0.309469814,0.606128721,4.133284222,0.53163496,1.083862212,0,0,1,1,41.33284222,0,1,0,10.83862212,0,1,0,108.3862212,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.311607335,0.609963999,4.131372222,0.536097005,1.092950953,4.100223818,61.24166144,0.311607335,0.609963999,4.131372222,0.536097005,1.092950953,0,0,1,1,41.31372222,0,1,0,10.92950953,0,1,0,109.2950953,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.312054896,0.624068376,4.129050347,0.541933085,1.103580713,4.102780382,61.24475852,0.312054896,0.624068376,4.129050347,0.541933085,1.103580713,0,0,1,1,41.29050347,0,1,0,11.03580713,0,1,0,110.3580713,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.313137467,0.639969684,4.127224075,0.547245567,1.10814608,4.102571869,61.25120535,0.313137467,0.639969684,4.127224075,0.547245567,1.10814608,0,0,1,1,41.27224075,0,1,0,11.0814608,0,1,0,110.814608,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.314936668,0.653044139,4.126556337,0.549888513,1.109115401,4.099968732,61.25211607,0.314936668,0.653044139,4.126556337,0.549888513,1.109115401,0,0,1,1,41.26556337,0,1,0,11.09115401,0,1,0,110.9115401,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.31748493,0.65834733,4.127509691,0.548605908,1.103515703,4.095882533,61.2426363,0.31748493,0.65834733,4.127509691,0.548605908,1.103515703,0,0,1,1,41.27509691,0,1,0,11.03515703,0,1,0,110.3515703,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.319830238,0.656642364,4.129319904,0.543864774,1.09463592,4.090430376,61.22374997,0.319830238,0.656642364,4.129319904,0.543864774,1.09463592,0,0,1,1,41.29319904,0,1,0,10.9463592,0,1,0,109.463592,0,0,0,1
